ac_no,Candidate,Party,% of Votes,Total Votes,,
139,Patel Shikha Ashok Kanaujiya,Bahujan Samaj Party,10.37%,"26,970",,
139,Prahlad Patel,Indian National Congress,1.35%,"35,13",,
139,NOTA,None of the Above,0.76%,"19,73",,
139,Ram Niwas Verma,Aam Aadmi Party,0.73%,"19,09",,
139,Abhishekh Kumari,Nai Kranti Party,0.44%,"11,43",,
139,Siddharth Shukla,Independent,0.27%,"71,1",,
140,Manju Tyagi,Bharatiya Janata Party,47.21%,"10,8249",,
140,Ram Sharan,Samajwadi Party,39.53%,"90,641",,
140,Meera Bano,Bahujan Samaj Party,10.07%,"23,091",,
140,Chandni,Indian National Congress,0.93%,"21,27",,
140,NOTA,None of the Above,0.71%,"16,24",,
140,Anil Kumar,Aam Aadmi Party,0.45%,"10,24",,
140,Parmeshwar Din,Independent,0.3%,"69,7",,
140,Satallu,Aazad Samaj Party (Kanshi Ram),0.3%,"69,1",,
140,Prashant Verma,Independent,0.28%,"65,3",,
140,Mahavir Singh,Asankhya Samaj Party,0.22%,"49,6",,
141,VINOD SHANKAR,Bharatiya Janata Party,49.49%,"11,3498",,
141,VARUN SINGH,Samajwadi Party,38.76%,"88,888",,
141,ANAND MOHAN URF DHEER MOHAN TRIVEDI,Bahujan Samaj Party,7.03%,"16,122",,
141,MULANDER KUMAR AWASTHI,Shiv Sena,1.12%,"25,66",,
141,NOTA,None of the Above,1.08%,"24,78",,
141,REKHA DEVI,Independent,0.58%,"13,20",,
141,JITENDRI DEVI,Indian National Congress,0.53%,"12,16",,
141,MUKESH KUMAR,Independent,0.51%,"11,59",,
141,VINOD KUMAR,Independent,0.5%,"11,36",,
141,ARVIND KUMAR,"Adarsh Janta Party,",0.41%,"93,2",,
142,Yogesh Verma,Bharatiya Janata Party,47.38%,"12,7663",,
142,Utkarsh Verma Madhur,Samajwadi Party,39.74%,"10,7085",,
142,Mohan Bajpai,Bahujan Samaj Party,8.91%,"24,014",,
142,Dr. RaviShankar Trivedi,Indian National Congress,1.05%,"28,34",,
142,NOTA,None of the Above,0.76%,"20,49",,
142,Mo. Usman Siddiqui,All India Majlis-E-Ittehadul Muslimeen,0.45%,"12,12",,
142,Janardan Prasad J.P.Mishra,Communist Party of India,0.42%,"11,19",,
142,Dr. Ram Ji Sharma Advocate,Rashtriya Lokshakti Party,0.33%,"87,9",,
142,Khushi Kinnar,Aam Aadmi Parivartan Party,0.24%,"64,6",,
142,Naresh Singh Bhadauriya,Independent,0.21%,"57,7",,
142,Reetu Verma Didi,Loktantrik Janwadi Party,0.2%,"53,7",,
142,Nawal Kishor,Bharat Swabhiman Party,0.19%,"52,2",,
142,Ashraf Ali Advocate,Peace Party,0.12%,"33,5",,
143,SAURABH SINGH,Bharatiya Janata Party,47.93%,"10,3315",,
143,SUNEEL KUMAR LALA,Samajwadi Party,41.52%,"89,498",,
143,HEMVATI DEVI,Bahujan Samaj Party,7.58%,"16,344",,
143,RADHE SHYAM,Indian National Congress,0.91%,"19,56",,
143,NOTA,None of the Above,0.65%,"13,99",,
143,LAVKUSH,Independent,0.47%,"10,07",,
143,GAYADATT,Uttar Pradesh Republican Party,0.39%,"83,0",,
143,JAGDISH PRASAD,Independent,0.33%,"70,9",,
143,JASKARAN RAJ,Janta Rakshak Party,0.23%,"49,2",,
144,LOKENDRA PRATAP SINGH,Bharatiya Janata Party,42.75%,"99,377",,
144,DAUD AHMAD,Samajwadi Party,40.66%,"94,506",,
144,SHAKEEL AHMAD SIDDIQUI,Bahujan Samaj Party,13.4%,"31,144",,
144,REETU SINGH,Indian National Congress,1.04%,"24,19",,
144,NOTA,None of the Above,0.75%,"17,51",,
144,RAVIKANT,Aam Aadmi Party,0.66%,"15,34",,
144,ANURAG M. SARTHI,Action Party,0.5%,"11,57",,
144,ROOPRAM,Independent,0.24%,"54,8",,
145,SHASHANK TRIVEDI,Bharatiya Janata Party,44.73%,"11,2040",,
145,ANOOP KUMAR GUPTA,Samajwadi Party,39.87%,"99,868",,
145,DR RAJENDRA PRASAD VERMA,Bahujan Samaj Party,10.18%,"25,507",,
145,AJAY VERMA,Bharatiya Jan Kranti Dal (Democratic),0.89%,"22,22",,
145,ASHISH MISHRA,Indian National Congress,0.88%,"22,12",,
145,NOTA,None of the Above,0.59%,"14,80",,
145,PRADEEP,Independent,0.56%,"14,15",,
145,RAMKUMAR MISHRA,Prajashakti Party Samdarshi,0.44%,"10,92",,
145,DEEPTI VERMA,Aam Aadmi Party,0.39%,"98,5",,
145,RADHESHYAM,Independent,0.36%,"89,6",,
145,SHYAM LAL,Independent,0.29%,"71,4",,
145,RAM KUMAR,Independent,0.23%,"58,5",,
145,TEJ NARAYAN VISHVAKARMA,Bahujan Mukti Party,0.18%,"45,9",,
145,RAJESH KUMAR RATHAUR,Bharatiya Subhash Sena,0.16%,"41,0",,
145,NEERAJ,Uttar Pradesh Republican Party,0.12%,"31,3",,
145,NAFEES KHAN,Loktantrik Janwadi Party,0.12%,"30,6",,
146,Rakesh Rathour,Bharatiya Janata Party,42.72%,"99,349",,
146,Radhey Shyam Jaiswal,Samajwadi Party,42.18%,"98,096",,
146,Khurshid Ansari,Bahujan Samaj Party,7.31%,"16,988",,
146,Saket Mishra,Independent,4.54%,"10,567",,
146,Shamina Shafiq,Indian National Congress,1.24%,"28,86",,
146,NOTA,None of the Above,0.53%,"12,26",,
146,Rupendra Kumar,Independent,0.33%,"77,8",,
146,Azaan,Independent,0.2%,"46,1",,
146,Rakesh,Independent,0.19%,"45,0",,
146,Anand Jaiswal,Aam Aadmi Party,0.19%,"43,5",,
146,Pankaj Mishra,Independent,0.13%,"29,3",,
146,Dr. Babu Ram Gautam,All India Peoples' Front (Radical),0.12%,"26,9",,
146,Dinesh Kumar Jaiswal,Independent,0.11%,"26,4",,
146,Ramshankar,Sabka Dal United,0.11%,"25,6",,
146,Satyendra Kumar,Bharatiya Subhash Sena,0.1%,"23,4",,
147,SURESH RAHI,Bharatiya Janata Party,52.46%,"11,6691",,
147,RAMHET BHARTI,Samajwadi Party,35.31%,"78,531",,
147,RANU CHAUDHARY,Bahujan Samaj Party,7.3%,"16,226",,
147,MAMTA BHARTI,Indian National Congress,1.41%,"31,30",,
147,ARJUN LAL,Communist Party of India (Marxist-Leninist) (Liberation),1.17%,"26,00",,
147,NOTA,None of the Above,0.76%,"16,88",,
147,SAURABH KISHORE,Aazad Samaj Party (Kanshi Ram),0.63%,"13,91",,
147,SUMAN,Independent,0.39%,"85,8",,
147,RAMPAL,Lok Bandhu Party,0.31%,"69,7",,
147,KHUSHIRAM CHAUDHARY,Ambedkar Samaj Party,0.28%,"61,3",,
148,ANIL KUMAR VERMA,Samajwadi Party,47.05%,"11,2987",,
148,SUNEEL VERMA,Bharatiya Janata Party,41.57%,"99,832",,
148,MO. JUNAID ANSARI,Bahujan Samaj Party,8.25%,"19,809",,
148,SANTOSH KUMAR SAXENA,Aam Aadmi Party,0.89%,"21,44",,
148,NOTA,None of the Above,0.79%,"18,90",,
148,ANUPAMA DWIVEDI,Indian National Congress,0.65%,"15,64",,
148,ATUL VERMA,Independent,0.34%,"82,1",,
148,RAKESH KUMAR,Independent,0.23%,"55,6",,
148,SALMA BEGUM,Independent,0.23%,"54,8",,
149,NIRMAL VERMA,Bharatiya Janata Party,44.77%,"10,6014",,
149,AFZAAL KAUSAR,Samajwadi Party,40.35%,"95,536",,
149,HASHIM ALI,Bahujan Samaj Party,10.17%,"24,086",,
149,VANDANA BHARRGAVA,Indian National Congress,1.97%,"46,65",,
149,SALIL SETH,Independent,0.71%,"16,93",,
149,NOTA,None of the Above,0.67%,"15,81",,
149,SAHAJRAM,Independent,0.34%,"81,4",,
149,RAMLAKHAN GAUTAM,Prajashakti Party Samdarshi,0.27%,"63,4",,
149,ADARSH,Aam Aadmi Party,0.22%,"52,3",,
149,NATTHARAM,Independent,0.15%,"36,0",,
149,SHASHIKALA VERMA,Independent,0.13%,"31,6",,
149,RAM KISHOR VERMA,Janata Dal (United),0.13%,"30,2",,
149,"RIAZUDDIN ""RAZU""",Independent,0.11%,"26,2",,
150,GYAN TIWARI,Bharatiya Janata Party,48.43%,"10,8057",,
150,MAHENDRA KUMAR SINGH,Samajwadi Party,39.34%,"87,776",,
150,ASHISH PRATAP SINGH,Bahujan Samaj Party,7.64%,"17,054",,
150,SHANTI DEVI,Vikassheel Insaan Party,1.93%,"43,00",,
150,DR. VIJAYNATH AWASTHI,Indian National Congress,1.34%,"29,84",,
150,NOTA,None of the Above,0.89%,"19,96",,
150,MASTURI KHATUN,Independent,0.43%,"96,4",,
151,ASHA MAURYA,Bharatiya Janata Party,41.89%,"92,091",,
151,NARENDRA SINGH VERMA,Samajwadi Party,39.51%,"86,869",,
151,MEESAM AMMAR RIZVI,Bahujan Samaj Party,16.06%,"35,304",,
151,USHA VERMA,Indian National Congress,0.8%,"17,62",,
151,NOTA,None of the Above,0.62%,"13,65",,
151,DEEP KUMAR,Independent,0.29%,"63,7",,
151,MAYA VERMA,Bhartiya Rashtrawadi Party,0.25%,"54,1",,
151,RAGHUNANDAN,Independent,0.21%,"46,7",,
151,VINOD KUMAR,Independent,0.19%,"42,4",,
151,RAJ KUMAR GUPTA,Aam Aadmi Party,0.18%,"39,3",,
152,Manish Rawat,Bharatiya Janata Party,43.58%,"10,6222",,
152,Dr. Hargovind Bhargava,Samajwadi Party,39.6%,"96,506",,
152,Pushpendra Kumar or Dr. Pushpendra Pasi,Bahujan Samaj Party,12.94%,"31,530",,
152,Kamla Rawat,Indian National Congress,0.97%,"23,60",,
152,NOTA,None of the Above,0.64%,"15,56",,
152,Kanhiya Lal,Aam Aadmi Party,0.47%,"11,54",,
152,Sunita Rawat,Independent,0.37%,"89,0",,
152,Satish Kumar Bhargava,Independent,0.34%,"83,3",,
152,Aditya Prakash,Independent,0.28%,"68,9",,
152,Imartilal,Independent,0.26%,"63,0",,
152,Mahendra Kumar Rawat,Awami Samta Party,0.22%,"54,3",,
152,Rajkaran,Voters Party International,0.17%,"41,4",,
152,Virendra Kumar,Sarv Rajya Party,0.16%,"39,2",,
153,RAMKRISHNA BHARGAVA,Bharatiya Janata Party,41.15%,"91,092",,
153,MANOJ KUMAR RAJVANSHI,Suheldev Bharatiya Samaj Party,35.97%,"79,627",,
153,SHYAM KISHOR,Bahujan Samaj Party,15.66%,"34,654",,
153,MANOJ KUMAR,Independent,1.85%,"40,87",,
153,DHARMENDRA DHANGAR,Jansatta Dal Loktantrik,1.7%,"37,64",,
153,SUBHASH RAJVANSHI,Indian National Congress,0.89%,"19,76",,
153,NOTA,None of the Above,0.68%,"14,98",,
153,BABURAM VERMA,Aam Aadmi Party,0.66%,"14,50",,
153,VIJAY PRAKASH GAUTAM,Aazad Samaj Party (Kanshi Ram),0.57%,"12,71",,
153,SUNEETA,Independent,0.41%,"90,2",,
153,SANTOSH,Bahujan Mukti Party,0.26%,"57,9",,
153,PRADEEP KUMAR RAJVANSHI,Independent,0.2%,"44,1",,
154,Madhavendra Pratap Singh,Bharatiya Janata Party,46.03%,"11,4263",,
154,Padamrag Singh Yadav,Samajwadi Party,35.68%,"88,576",,
154,Dr. Rahul Tiwari,Bahujan Samaj Party,8.55%,"21,221",,
154,Rajvardhan Singh,Indian National Congress,4.59%,"11,396",,
154,Vedram,Jan Adhikar Party,2.18%,"54,18",,
154,Suraj Prakash,Independent,0.67%,"16,55",,
154,NOTA,None of the Above,0.6%,"14,88",,
154,Lal Bahadur Singh,Independent,0.42%,"10,43",,
154,Ramveer,Independent,0.25%,"62,9",,
154,Gyanesh Kumar,Aazad Samaj Party (Kanshi Ram),0.21%,"51,3",,
154,Ramesh,Bharatiya Subhash Sena,0.2%,"49,5",,
154,Umesh Chandra Pathak,Independent,0.15%,"38,4",,
154,Raj Prakash Singh,Independent,0.15%,"36,5",,
154,Ritoo,Bhartiya Shakti Chetna Party,0.11%,"26,3",,
154,Manoj Kumar,Independent,0.11%,"26,3",,
154,Anupam Pratap Singh,Independent,0.1%,"25,0",,
155,RAJNI TIWARI,Bharatiya Janata Party,40.49%,"94,561",,
155,MOHD ASIF KHAN,Samajwadi Party,37.72%,"88,082",,
155,AHIVRAN,Bahujan Samaj Party,16.05%,"37,475",,
155,AKHILESH PATHAK,Independent,1.88%,"43,80",,
155,KAMAL KUMAR SHUKLA,Aam Aadmi Party,0.75%,"17,42",,
155,NOTA,None of the Above,0.71%,"16,64",,
155,AZIMUSHAN,Indian National Congress,0.67%,"15,61",,
155,SAURABH,Independent,0.37%,"86,3",,
155,NASREEN BANO,Independent,0.36%,"83,1",,
155,NAGENDRA SINGH,Independent,0.36%,"83,1",,
155,RAHUL KUMAR,Manuvadi Party,0.29%,"68,2",,
155,RAM KISHOR,Jan Adhikar Party,0.21%,"49,8",,
155,PARINITA SINGH,Jansatta Dal Loktantrik,0.15%,"34,7",,
156,Nitin Agarwal,Bharatiya Janata Party,53.19%,"12,6750",,
156,Anil Verma,Samajwadi Party,35.39%,"84,339",,
156,Shobhit Pathak,Bahujan Samaj Party,8.63%,"20,573",,
156,Ashish Singh Somvanshi,Indian National Congress,0.84%,"19,99",,
156,NOTA,None of the Above,0.73%,"17,40",,
156,Akhtar Ali,Aazad Samaj Party (Kanshi Ram),0.38%,"91,0",,
156,Mohit Mishra,Akhil Bhartiya Naitik Party,0.31%,"74,6",,
156,Ataurrahman,All India Majlis-E-Ittehadul Muslimeen,0.27%,"64,2",,
156,Sushil Kumar Pandey,Aam Aadmi Party,0.25%,"59,6",,
157,Shyam Prakash,Bharatiya Janata Party,43.07%,"91,762",,
157,Rajeshwari,Samajwadi Party,39.32%,"83,764",,
157,Sarvesh Kumar,Bahujan Samaj Party,14.89%,"31,715",,
157,NOTA,None of the Above,0.89%,"18,87",,
157,Suneeta Devi,Indian National Congress,0.66%,"14,10",,
157,Shive Kumar,Independent,0.46%,"97,0",,
157,Munshilal,Independent,0.45%,"96,0",,
157,Rudra Pratap Shahi,Aam Aadmi Party,0.27%,"58,0",,
158,Prabhash Kumar,Bharatiya Janata Party,41.7%,"81,519",,
158,Usha Verma,Samajwadi Party,36.97%,"72,286",,
158,Kamal Verma s/o Sundar Lal Verma,Bahujan Samaj Party,15.64%,"30,576",,
158,Akanksha Verma,Indian National Congress,1.56%,"30,55",,
158,NOTA,None of the Above,0.86%,"16,89",,
158,Kamal Verma s/o Niranjan Lal,Independent,0.8%,"15,57",,
158,Pradeep Kumar,Bhartiya Krishak Dal,0.72%,"14,16",,
158,Shive Kumar,Independent,0.47%,"91,6",,
158,Ram Sagar,Independent,0.4%,"78,3",,
158,Arvind Kumar,Independent,0.32%,"63,1",,
158,Ranjeet Singh Khalsa,Bahujan Party,0.2%,"39,1",,
158,Swarn Kant,Aam Aadmi Party,0.2%,"38,8",,
158,Anup Kumar,Independent,0.16%,"30,4",,
159,ASHISH KUMAR SINGH 'ASHU',Bharatiya Janata Party,34.96%,"82,075",,
159,BRIJESH KUMAR VERMA,Samajwadi Party,24.36%,"57,185",,
159,SUBHASH PAL,Indian National Congress,22.32%,"52,398",,
159,KRISHNA KUMAR SINGH,Bahujan Samaj Party,15.23%,"35,764",,
159,NOTA,None of the Above,0.77%,"18,18",,
159,DEEPAK KUMAR,Aam Aadmi Party,0.63%,"14,74",,
159,VIMLA DEVI,Independent,0.46%,"10,90",,
159,SONIKA VERMA,Independent,0.35%,"82,9",,
159,C. K. SINGH,Independent,0.3%,"71,0",,
159,SHABNUM ATTRI,Independent,0.27%,"62,4",,
159,SHYAM MOHAN PANDEY,Satya Bahumat Party,0.1%,"24,2",,
159,RAMESH CHANDRA,Independent,0.09%,"20,8",,
159,MADHURI SINGH,Bhartiya Shakti Chetna Party,0.08%,"19,4",,
159,DEEPIKA SUMAN,Independent,0.07%,"15,3",,
160,Rampal Verma,Bharatiya Janata Party,42.84%,"81,994",,
160,Rambali Verma,Samajwadi Party,29.13%,"55,750",,
160,Tilak Chandra,Bahujan Samaj Party,22.23%,"42,551",,
160,Surendra Kumar,Indian National Congress,2.15%,"41,12",,
160,NOTA,None of the Above,1.07%,"20,47",,
160,Piyush Premi,Aam Aadmi Party,0.83%,"15,84",,
160,Sushila Devi,Independent,0.81%,"15,58",,
160,Manoj Kumar Verma,Independent,0.34%,"64,2",,
160,Anita,Independent,0.31%,"58,5",,
160,Ramkrishna,Bhartiya Shakti Chetna Party,0.29%,"56,4",,
161,Alka Singh,Bharatiya Janata Party,49.76%,"10,1730",,
161,Abdul Mannan,Bahujan Samaj Party,31.61%,"64,627",,
161,Sunil Arkvanshi,Suheldev Bharatiya Samaj Party,12.06%,"24,655",,
161,Abhinay Gupta,Bhartiya Shakti Chetna Party,1.8%,"36,72",,
161,Mo. Haneef,Indian National Congress,1.69%,"34,64",,
161,NOTA,None of the Above,0.91%,"18,56",,
161,Mo. Rafik,All India Majlis-E-Ittehadul Muslimeen,0.71%,"14,52",,
161,Lalit Kumar,Independent,0.68%,"13,84",,
161,Naresh Singh,Independent,0.31%,"63,2",,
161,Raghuveer,Aam Aadmi Party,0.24%,"50,0",,
161,Munnalal Shukla,Socialist Party (India),0.23%,"47,3",,
162,Shrikant Katiyar,Bharatiya Janata Party,44.7%,"90,980",,
162,Dr. Munna,Samajwadi Party,36.94%,"75,187",,
162,Ram Kishore Pal,Bahujan Samaj Party,12.55%,"25,543",,
162,Arti Bajpai,Indian National Congress,2.6%,"52,85",,
162,Anil Kumar Mishra,Socialist Party (India),0.68%,"13,85",,
162,NOTA,None of the Above,0.62%,"12,67",,
162,Rizwanullah,Nagrik Ekta Party,0.5%,"10,14",,
162,Satyendra,Aam Aadmi Party,0.39%,"79,8",,
162,Chand Alam,Aazad Samaj Party (Kanshi Ram),0.37%,"75,4",,
162,Abdul Rzzak Mansuri,Independent,0.35%,"70,4",,
162,Balram,Independent,0.3%,"61,0",,
163,BAMBA LAL,Bharatiya Janata Party,52.13%,"10,2968",,
163,SUDHIR KUMAR,Samajwadi Party,34.85%,"68,836",,
163,RAJENDRA KUMAR,Bahujan Samaj Party,10.01%,"19,768",,
163,NOTA,None of the Above,0.88%,"17,45",,
163,SHANKAR LAL GAUTAM,Indian National Congress,0.76%,"15,04",,
163,RAJU,Bahujan Mukti Party,0.58%,"11,36",,
163,JEET GYANI,Aam Aadmi Party,0.49%,"96,0",,
163,MUKESH,Independent,0.31%,"61,8",,
164,BRAJESH KUMAR,Bharatiya Janata Party,53.45%,"11,3291",,
164,Dr. ANCHAL,Samajwadi Party,33.08%,"70,112",,
164,SEWAK LAL RAWAT,Bahujan Samaj Party,9.82%,"20,806",,
164,MADHU VERMA ALIAS MADHU RAWAT,Indian National Congress,1.29%,"27,44",,
164,NOTA,None of the Above,0.74%,"15,79",,
164,NITU KANAUJIYA,Aazad Samaj Party (Kanshi Ram),0.43%,"91,9",,
164,SANDEEP KUMAR,Nagrik Ekta Party,0.41%,"86,4",,
164,ACHHEY LAL,Independent,0.37%,"78,2",,
164,SAVITA,Al-Hind Party,0.22%,"46,7",,
164,SHATROHAN LAL RAWAT,Aam Aadmi Party,0.19%,"39,9",,
165,Pankaj Gupta,Bharatiya Janata Party,51.62%,"12,6670",,
165,Abhinav Kumar,Samajwadi Party,38.94%,"95,542",,
165,Devendra Singh,Bahujan Samaj Party,6.36%,"15,605",,
165,Tanmay Srivastava,RASHTRIYA VIKLANG PARTY,0.89%,"21,90",,
165,Asha Singh,Indian National Congress,0.63%,"15,55",,
165,NOTA,None of the Above,0.58%,"14,25",,
165,Yuvraj Singh Chandel,Aam Aadmi Party,0.28%,"68,6",,
165,Er. Pankaj Bajpai,Independent,0.2%,"48,6",,
165,Babita Kushwaha,Jan Abhiyan Party,0.18%,"43,4",,
165,Suraj Vimal,Rashtriya Teesara Vikalp Party,0.16%,"39,7",,
165,Kamlesh Verma,Independent,0.16%,"38,2",,
166,Ashutosh Shukla,Bharatiya Janata Party,51.28%,"12,7118",,
166,Ankit Parihar,Samajwadi Party,33.93%,"84,108",,
166,Brij Kishor,Bahujan Samaj Party,11.47%,"28,441",,
166,Jang Bahadur Singh,Indian National Congress,1.04%,"25,80",,
166,NOTA,None of the Above,0.94%,"23,19",,
166,Ajay Singh,Independent,0.41%,"10,28",,
166,Navin Kumar,Aam Aadmi Party,0.35%,"86,3",,
166,Surendra Kumar,Aazad Samaj Party (Kanshi Ram),0.29%,"72,0",,
166,Naseem Khan,Rashtriya Samaj Paksha,0.29%,"70,9",,
167,ANIL KUMAR SINGH,Bharatiya Janata Party,52.27%,"13,3827",,
167,UDAY RAJ,Samajwadi Party,40.14%,"10,2766",,
167,VINOD KUMAR,Bahujan Samaj Party,4.12%,"10,557",,
167,NOTA,None of the Above,1.02%,"26,09",,
167,UROOSA IMRAN RANA,Indian National Congress,0.73%,"18,78",,
167,Harshit Tiwari,Independent,0.47%,"12,15",,
167,MOHD ASHFAK,Independent,0.24%,"61,5",,
167,SURENDRA KUMAR,Independent,0.24%,"60,5",,
167,ANIL,Independent,0.19%,"47,7",,
167,Sant Kumar,Bhartiya Samta Party,0.13%,"34,5",,
167,ASHISH BAJPAI,Manviya Bharat Party,0.12%,"32,0",,
167,VED PRAKASH,Lok Janshakti Party(Ram Vilas),0.11%,"27,8",,
167,KULDEEP KUMAR,Aam Aadmi Party,0.11%,"27,6",,
167,JAGANNATH,Lok Dal,0.1%,"25,0",,
168,JAI DEVI,Bharatiya Janata Party,44.15%,"10,6372",,
168,SURENDRA KUMAR,Samajwadi Party,40.93%,"98,627",,
168,JAGDISH,Bahujan Samaj Party,10.76%,"25,914",,
168,INDAL KUMAR,Indian National Congress,0.89%,"21,42",,
168,AJAY KUMAR RAWAT,Independent,0.82%,"19,83",,
168,NOTA,None of the Above,0.61%,"14,78",,
168,RAMESH KUMAR,Jan Adhikar Party,0.48%,"11,45",,
168,RUPENDRA KUMAR,Aazad Samaj Party (Kanshi Ram),0.42%,"10,15",,
168,JAI BANDHU,Bahujan Mukti Party,0.39%,"95,0",,
168,ACCHE LAL,Independent,0.37%,"89,6",,
168,NEELAM SAROJ,Bahujan Awam Party,0.17%,"41,9",,
169,YOGESH SHUKLA,Bharatiya Janata Party,46.36%,"14,7922",,
169,GOMTI YADAV,Samajwadi Party,37.65%,"12,0134",,
169,SALAUDDIN 'MUSSAN',Bahujan Samaj Party,11.02%,"35,167",,
169,LALAN KUMAR,Indian National Congress,2.84%,"90,56",,
169,NOTA,None of the Above,0.69%,"22,04",,
169,SUNIL KUMAR Alias S. K. SINGHANIYA,Aazad Samaj Party (Kanshi Ram),0.33%,"10,66",,
169,SHYAMU VERMA,Sabka Dal United,0.2%,"63,4",,
169,RISHI JAISWAL 'GAPPU',Gandhiyan Peoples Party,0.19%,"62,1",,
169,BALARAM VERMA LODHI,Samdarshi Samaj Party,0.18%,"56,8",,
169,ARVIND KUMAR TIWARI,Lok Bandhu Party,0.16%,"51,3",,
169,VIPIN TYAGI,Mera Adhikaar Rashtriya Dal,0.15%,"48,4",,
169,PANKAJ SINGH ADVOCATE,Rashtriya Rashtrawadi Party,0.11%,"36,2",,
169,KISHOR KUMAR,Kishore Raj Party,0.1%,"32,1",,
170,Rajeshwar Singh,Bharatiya Janata Party,49.07%,"16,0626",,
170,Abhishek Mishra,Samajwadi Party,31.9%,"10,4440",,
170,Mohd. Jaleesh Khan,Bahujan Samaj Party,10.19%,"33,356",,
170,RUDRA DAMAN SINGH,Indian National Congress,6.02%,"19,711",,
170,Rohit Shrivastava,Aam Aadmi Party,0.74%,"24,27",,
170,NOTA,None of the Above,0.56%,"18,22",,
170,Satya Narayan,Communist Party of India,0.55%,"17,95",,
170,Sharda Pratap Shukla,Independent,0.19%,"60,7",,
170,Ramvaran Singh,Rashtriya Jatigat Aarakshan Virodhi Party,0.14%,"44,3",,
170,Anil Kumar Giri,Apna Bharatiya Sanatan Party,0.13%,"43,5",,
170,Pratap Chandra,Rashtriya Rashtrawadi Party,0.13%,"42,9",,
170,Chandra Shekhar Verma,Jan Adhikar Party,0.12%,"40,1",,
170,Rama Shankar Bheem,Manavtawadi Kranti Dal,0.1%,"32,7",,
170,Jitendra Kumar,Bahujan Mukti Party,0.09%,"30,7",,
170,Arvind Singh,Rashtriya Teesara Vikalp Party,0.08%,"24,7",,
171,ARMAAN KHAN,Samajwadi Party,48.19%,"12,4497",,
171,ANJANI KUMAR SRIVASTAVA,Bharatiya Janata Party,45.03%,"11,6313",,
171,KAYAM RAZA KHAN,Bahujan Samaj Party,3.89%,"10,061",,
171,SHAHANA SIDDIQUI,Indian National Congress,1.08%,"27,96",,
171,NOTA,None of the Above,0.52%,"13,34",,
171,RAJIV BAKSHI,Aam Aadmi Party,0.5%,"12,94",,
171,MOHD HANIF KHAN,Independent,0.28%,"72,8",,
171,RAHUL GUPTA,Independent,0.23%,"60,5",,
171,Vinay Shukla,Independent,0.09%,"24,3",,
171,ATUL TIWARI,Bhartiya Shakti Chetna Party,0.07%,"17,8",,
171,KAYNAT SIDDIQUI,Jan Abhiyan Party,0.06%,"15,8",,
171,KANTI PANDEY,Rashtriya Rashtrawadi Party,0.04%,"11,3",,
172,Dr. Neeraj Bora,Bharatiya Janata Party,53.3%,"13,9159",,
172,Pooja Shukla,Samajwadi Party,40.29%,"10,5206",,
172,Mohd Sarwar Malik,Bahujan Samaj Party,3.43%,"89,45",,
172,Ajay Kumar Srivastava,Indian National Congress,1.24%,"32,36",,
172,Amit Shrivastav 'Tyagi'',Aam Aadmi Party,0.52%,"13,66",,
172,NOTA,None of the Above,0.51%,"13,42",,
172,Pankaj Sharma,Independent,0.25%,"64,4",,
172,Sarvesh Sai,Independent,0.11%,"29,9",,
172,Sanjay Singh Rana,Bhartiya Sarvdharm Party,0.09%,"24,7",,
172,Arvind Shukla,Independent,0.08%,"20,6",,
172,Kaushal Kishore,Moulik Adhikar Party,0.07%,"19,2",,
172,Noor Mo Varsi,Gandhiyan Peoples Party,0.04%,"96,",,
172,Rani Siddiqui,Socialist Party (India),0.03%,"82,",,
172,Brijesh Chandra Awasthi,Mera Adhikaar Rashtriya Dal,0.03%,"79,",,
173,Ashutosh Tandon 'Gopal Ji ',Bharatiya Janata Party,59.4%,"15,2928",,
173,Anurag Singh Bhadouriya,Samajwadi Party,32.7%,"84,197",,
173,Aashish Kumar Sinha,Bahujan Samaj Party,3.82%,"98,34",,
173,Manoj Tiwari,Indian National Congress,1.74%,"44,85",,
173,Alok Singh,Aam Aadmi Party,1.04%,"26,80",,
173,NOTA,None of the Above,0.62%,"15,95",,
173,Avinash Bharti,Aazad Samaj Party (Kanshi Ram),0.27%,"68,9",,
173,Anurodh Srivastava,Independent,0.09%,"23,8",,
173,Shiva Gupta,Samaj Sevak Party,0.08%,"20,8",,
173,Mridul Kumar Srivastava (Advocate),Independent,0.05%,"13,7",,
173,Vinai Prakash Srivastava,Bhartiya Krishak Dal,0.05%,"11,8",,
173,Ravikant Jha Sintu,Lok Dal,0.04%,"11,2",,
173,Vijay Laxmi Jaiswal,Gandhiyan Peoples Party,0.04%,"10,2",,
173,Dilip Kumar Rastogi,Bahujan Mukti Party,0.03%,"81,",,
173,Naimish Pratap Narayan Singh,Rashtriya Rashtrawadi Party,0.02%,"64,",,
174,RAVIDAS MEHROTRA,Samajwadi Party,49.62%,"10,4488",,
174,RAJNISH KUMAR GUPTA,Bharatiya Janata Party,44.43%,"93,553",,
174,ASHISH CHANDRA,Bahujan Samaj Party,2.94%,"61,81",,
174,SADAF JAFAR,Indian National Congress,1.39%,"29,27",,
174,NOTA,None of the Above,0.46%,"96,0",,
174,NADEEM ASHRAF,Aam Aadmi Party,0.36%,"75,4",,
174,SALMAN SIDDIQUE,All India Majlis-E-Ittehadul Muslimeen,0.3%,"62,3",,
